run_name,member,env,policy,lr,gamma,batch_size,eps_start,eps_end,eps_fraction,timesteps,final_ep_rew_mean,final_ep_len_mean,train_seconds,model_path
winston_lr1e-03_mlp,winston,ALE/Pong-v5,mlp,0.001,0.99,32,1.0,0.05,0.1,500000,-20.88,3207.88,1196.9,models/dqn_model_winston_lr1e-03_mlp.zip
winston_lr1e-03_cnn,winston,ALE/Pong-v5,cnn,0.001,0.99,32,1.0,0.05,0.1,500000,-20.88,3206.6,1684.2,models/dqn_model_winston_lr1e-03_cnn.zip
winston_lr3e-04_mlp,winston,ALE/Pong-v5,mlp,0.0003,0.99,32,1.0,0.05,0.1,500000,-20.64,3642.58,1193.9,models/dqn_model_winston_lr3e-04_mlp.zip
winston_lr3e-04_cnn,winston,ALE/Pong-v5,cnn,0.0003,0.99,32,1.0,0.05,0.1,500000,-20.9,3182.23,1694.8,models/dqn_model_winston_lr3e-04_cnn.zip
winston_lr1e-04_mlp,winston,ALE/Pong-v5,mlp,0.0001,0.99,32,1.0,0.05,0.1,500000,-20.92,3171.76,1210.6,models/dqn_model_winston_lr1e-04_mlp.zip
winston_lr1e-04_cnn,winston,ALE/Pong-v5,cnn,0.0001,0.99,32,1.0,0.05,0.1,500000,-20.88,3210.27,1741.3,models/dqn_model_winston_lr1e-04_cnn.zip
winston_lr3e-05_mlp,winston,ALE/Pong-v5,mlp,3e-05,0.99,32,1.0,0.05,0.1,500000,-20.94,3225.86,1347.7,models/dqn_model_winston_lr3e-05_mlp.zip
winston_lr3e-05_cnn,winston,ALE/Pong-v5,cnn,3e-05,0.99,32,1.0,0.05,0.1,500000,-15.86,7598.88,1827.5,models/dqn_model_winston_lr3e-05_cnn.zip
smoketest_01,smoketest,ALE/Pong-v5,cnn,0.0001,0.99,32,1.0,0.05,0.1,2000,,,46.1,models\dqn_model_smoketest_01.zip
smoketest_02,smoketest,ALE/Pong-v5,cnn,0.0001,0.99,32,1.0,0.05,0.1,1000,-21.0,3056.0,11.3,models\dqn_model_smoketest_02.zip
smoketest_mlp,smoketest,ALE/Pong-v5,mlp,0.0001,0.99,32,1.0,0.05,0.1,500,-21.0,3056.0,1.9,models\dqn_model_smoketest_mlp.zip
winston_lr1e-05_mlp,winston,ALE/Pong-v5,mlp,1e-05,0.99,32,1.0,0.05,0.1,500000,-20.76,3224.96,1322.7,models/dqn_model_winston_lr1e-05_mlp.zip
winston_lr1e-05_cnn,winston,ALE/Pong-v5,cnn,1e-05,0.99,32,1.0,0.05,0.1,500000,-20.53,3517.95,1678.3,models/dqn_model_winston_lr1e-05_cnn.zip
Sougnabe_g08,Sougnabe,ALE/Pong-v5,cnn,0.0001,0.8,32,1.0,0.05,0.1,150000,-20.83,3245.27,520.5,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_Sougnabe_g08.zip
Sougnabe_g085,Sougnabe,ALE/Pong-v5,cnn,0.0001,0.85,32,1.0,0.05,0.1,150000,-20.69,3333.32,522.0,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_Sougnabe_g085.zip
Sougnabe_g088,Sougnabe,ALE/Pong-v5,cnn,0.0001,0.88,32,1.0,0.05,0.1,150000,-20.66,3333.06,531.6,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_Sougnabe_g088.zip
Sougnabe_g09,Sougnabe,ALE/Pong-v5,cnn,0.0001,0.9,32,1.0,0.05,0.1,150000,-20.84,3241.13,533.2,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_Sougnabe_g09.zip
Sougnabe_g093,Sougnabe,ALE/Pong-v5,cnn,0.0001,0.93,32,1.0,0.05,0.1,150000,-20.74,3541.83,531.0,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_Sougnabe_g093.zip
Sougnabe_g095,Sougnabe,ALE/Pong-v5,cnn,0.0001,0.95,32,1.0,0.05,0.1,150000,-20.61,3444.13,513.8,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_Sougnabe_g095.zip
Sougnabe_g097,Sougnabe,ALE/Pong-v5,cnn,0.0001,0.97,32,1.0,0.05,0.1,150000,-19.99,3778.81,519.3,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_Sougnabe_g097.zip
Sougnabe_g098,Sougnabe,ALE/Pong-v5,cnn,0.0001,0.98,32,1.0,0.05,0.1,150000,-20.68,3776.68,522.6,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_Sougnabe_g098.zip
Sougnabe_g099,Sougnabe,ALE/Pong-v5,cnn,0.0001,0.99,32,1.0,0.05,0.1,150000,-20.35,3488.94,517.0,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_Sougnabe_g099.zip
Sougnabe_g0995,Sougnabe,ALE/Pong-v5,cnn,0.0001,0.995,32,1.0,0.05,0.1,150000,-20.41,3563.15,517.8,/content/drive/MyDrive/Formative_3_Deep_Q_Learning/models/dqn_model_Sougnabe_g0995.zip
